smiles,ic50_nM,pIC50,activity_comment,assay_description,document_chembl_id,assay_chembl_id,scaffold,split
Br.CS(=O)(=O)N(c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1)c1ccccn1,4570.0,5.34008379993015,,Inhibition of BACE1,CHEMBL1208699,CHEMBL1211665,O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1cccc(Nc2ccccn2)c1,train
Brc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,126.0,6.899629454882437,,Inhibition of human BACE-1 using MOCA-SEV-NL-DAEFR-DNP-RR as substrate preincubated with substrate followed by enzyme addition by FRET assay,CHEMBL4665668,CHEMBL4668050,c1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,train
Brc1ccc(/C=N\C2CCN(Cc3ccccc3)C2)cc1,1752.0,5.756465898167939,,Inhibition of human BACE-1 by FRET assay,CHEMBL4699547,CHEMBL4703235,C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1,train
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,648.0,6.188424994129407,,Inhibition of human BACE-1 by FRET assay,CHEMBL4699547,CHEMBL4703235,c1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,train
C#CCCOc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,130.0,6.886056647693163,218285; 220532,Inhibition Assay: Beta-Secretase inhibition assay.; Inhibition Assay: Inhibition assay using human BACE-1.,CHEMBL3638416; CHEMBL3639189,CHEMBL3705044; CHEMBL3705312,O=C(Nc1cccc(C2CCSC=N2)c1)c1cnccn1,train
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,460.0,6.337242168318426,,Inhibition of BACE-1 (unknown origin),CHEMBL4350982,CHEMBL4353095,c1ccc(CN2CCC(CCCOc3ccc4[nH]ccc4c3)CC2)cc1,test
C#CCN(C)Cc1ccc(O)c2ncccc12,1600.0,5.795880017344075,,Irreversible inhibition of BACE-1 (unknown origin),CHEMBL4350982,CHEMBL4353105,c1ccc2ncccc2c1,train
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)N2C,95.5,7.0323975662867095,,Inhibition of BACE1; Inhibition of BACE1 in human SHSY5Y cells expressing wild type APP assessed as inhibition of intracellular amyloid beta-40 secretion,CHEMBL1158411,CHEMBL726629; CHEMBL729831,O=C(NCCc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(c1)c(CC)cn3CCS(=O)(=O)O2,360.0,6.443697499232712,,Inhibition of BACE1,CHEMBL1158411,CHEMBL726629,O=C(NCCc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)O2)c1,train
C#CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2c3c(cn(CC)c3c1)CCS(=O)(=O)N2C,18.5,7.771816983435478,,Inhibition of BACE1; Inhibition of BACE1 in human SHSY5Y cells expressing wild type APP assessed as inhibition of intracellular amyloid beta-40 secretion,CHEMBL1158411,CHEMBL726629; CHEMBL729831,O=C(NCCc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,train
