activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,canonical_smiles,document_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
,78857,CHEMBL653511,Inhibitory activity against Beta-secretase 1 was determined,B,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CHEMBL1136466,6.38,=,=,IC50,nM,413.0,CHEMBL4822,IC50,nM,413.0
,391560,CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CHEMBL1144938,8.70,=,=,IC50,nM,2.0,CHEMBL4822,IC50,uM,0.002
,391983,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CCSC)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,6.34,=,=,IC50,nM,460.0,CHEMBL4822,IC50,uM,0.46
,395858,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CC(=O)NCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,5.05,=,=,IC50,nM,9000.0,CHEMBL4822,IC50,uM,9.0
,395859,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,5.25,=,=,IC50,nM,5600.0,CHEMBL4822,IC50,uM,5.6
,397117,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CC[S+](C)[O-])[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,4.47,=,=,IC50,nM,34000.0,CHEMBL4822,IC50,uM,34.0
,400254,CHEMBL653332,Compound was tested for its inhibitory activity against human beta-Secretase (BACE),B,CC(C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)C(O)c1ccccc1-c1ccccc1)C(=O)Nc1cc(C(=O)O)cc(C(=O)O)c1,CHEMBL1144938,7.70,=,=,IC50,nM,20.0,CHEMBL4822,IC50,uM,0.02
,402256,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,7.68,=,=,IC50,nM,21.0,CHEMBL4822,IC50,uM,0.021
,402257,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CSCC[C@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,CHEMBL1147464,6.52,=,=,IC50,nM,300.0,CHEMBL4822,IC50,uM,0.3
,405238,CHEMBL653512,Inhibition of human Beta-secretase 1,B,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,CHEMBL1147464,7.30,=,=,IC50,nM,50.0,CHEMBL4822,IC50,uM,0.05
